,time,lat,lon,rain,MEV,HMV,vr500,vws1,vws3,mfc
0,202106070250,38.85,117.4,22.61,2.3626868,1125.0,0.7700005662627518,12.205207,23.59055,1.1721939
1,202106131900,38.88,116.71,20.27,1.0025462,3500.0,1.8799998797476292,7.506919,8.779949,2.8641133
2,202106282240,37.74,117.0,20.03,1.10609544,500.0,0.9999998146668077,5.404741,5.767101,3.796376
3,202106282250,37.52,116.23,27.43,1.09209526,250.0,1.4999995473772287,5.767424,8.014515,5.3385243
4,202106290550,37.35,115.93,20.59,1.08617336,250.0,1.3700000708922744,5.369348,9.573994,3.4609306
5,202106290610,38.22,117.68,26.28,1.3677519999999999,0.0,1.2700000079348683,4.983485,10.973035,0.5401011
6,202106290940,39.45,116.87,24.69,1.0419004,0.0,1.8700000364333391,5.3256054,9.334268,4.0145817
7,202106300950,37.88,116.27,20.31,1.235014,1625.0,0.5700006731785834,5.3466296,9.305192,2.4501407
8,202106301000,37.96,116.2,22.37,1.1671424,875.0,0.6000003777444363,4.7044363,11.3564005,3.5526004
9,202106301020,38.1,115.88,36.78,1.2579799999999999,1250.0,0.6300001405179501,4.725699,9.67262,4.19709
10,202106301040,38.26,115.42,21.37,1.3467498,500.0,1.359999761916697,5.2053747,8.971926,1.8746065
11,202106301130,38.1,115.78,20.03,1.110424,875.0,0.8299999171867967,5.445401,10.3994255,4.3937483
12,202107020620,39.23,117.94,28.5,1.12592104,875.0,0.9199991472996771,6.6315017,9.453182,1.2683172
13,202107021930,37.9,117.09,21.73,1.04975894,250.0,2.0400001667439938,6.9092374,8.936722,4.1807837
14,202107021940,38.71,117.64,23.22,1.704367,125.0,1.3299999991431832,8.016681,9.098851,3.6403303
15,202107022000,39.03,117.73,20.06,2.0781836,125.0,2.1100002340972424,7.00374,8.927916,10.374895
16,202107050840,39.28,117.93,21.47,1.7567533000000002,125.0,2.15000007301569,6.3449187,8.503741,5.644192
17,202107051600,39.37,116.7,23.97,1.4684041,2000.0,0.7000002660788596,5.405835,14.389409,2.0593665
18,202107051610,39.18,116.53,28.78,1.0135334,1375.0,0.7799997110851109,5.5059013,15.730278,4.61331
19,202107070810,38.52,117.66,20.29,1.355052,250.0,2.4900007992982864,9.29653,18.703207,11.547582
20,202107071040,37.85,116.73,23.85,1.0783034,125.0,1.4000002993270755,6.2531524,7.683515,5.6974053
21,202107071100,37.91,117.0,34.52,1.01145015,0.0,1.180000021122396,6.061581,9.596333,5.6808786
22,202107071130,38.59,117.03,24.89,1.0243162,3375.0,1.2799999676644802,5.3099847,9.089274,1.6063739
23,202107071150,38.7,117.03,27.17,1.2921878,3125.0,1.249999739229679,5.6575546,9.915014,2.1677144
24,202107071230,38.32,116.95,27.45,1.14600894,2250.0,1.7300000181421638,7.512886,11.195779,1.9787719
25,202107101540,39.51,116.68,20.36,1.293758,500.0,2.329999813809991,8.7411995,8.960939,6.655305
26,202107101720,39.57,117.39,26.05,2.064496,1250.0,1.2699997751042247,10.724374,9.748182,11.554601
27,202107101740,39.56,117.52,20.89,2.2493575000000003,1250.0,1.9600002560764551,10.663618,10.904952,10.632781
28,202107101750,39.31,117.55,20.22,1.08524364,375.0,2.1399997640401125,11.927524,11.524894,19.306286
