time,cunt
20210602,3
20210607,1
20210609,13
20210610,1
20210612,2
20210613,3
20210614,3
20210625,2
20210626,16
20210628,8
20210629,11
20210630,10
20210701,2
20210702,20
20210705,13
20210707,18
20210708,2
20210709,3
20210710,10
20210711,31
20210712,10
20210713,45
20210714,3
20210715,3
20210716,1
20210717,5
20210718,23
20210719,11
20210720,10
20210721,2
20210723,1
20210727,14
20210728,1
20210731,19
20210802,1
20210803,3
20210804,2
20210805,21
20210807,8
20210808,4
20210809,1
20210811,19
20210815,1
20210816,11
20210817,1
20210819,4
20210820,1
20210823,20
20210824,1
20220601,1
20220604,1
20220607,1
20220611,5
20220612,5
20220613,10
20220614,4
20220616,1
20220617,3
20220625,1
20220626,33
20220627,12
20220628,37
20220629,9
20220630,24
20220701,4
20220702,24
20220703,17
20220705,25
20220709,12
20220711,2
20220713,1
20220716,1
20220722,2
20220723,2
20220725,12
20220726,15
20220727,32
20220728,8
20220804,4
20220805,9
20220806,15
20220807,14
20220808,11
20220812,9
20220814,21
20220818,39
20220821,31
20220821,31
